belief,plausibility
0.0,1.0
0.1594541131835286,1.0
0.2831989577236079,1.0
0.27231040965860276,1.0
0.37773697118481275,1.0
0.4479444795750379,1.0
0.4248063351251479,1.0
0.4732709113380119,1.0
0.4541561747792498,1.0
0.5010371550809195,1.0
0.5451626133500789,1.0
0.5205313789850143,1.0
0.5015178414324514,1.0
0.5284377591881915,1.0
0.5508936041090982,1.0
0.5698669029227281,1.0
0.5850829701990096,1.0
0.5648437752038392,1.0
0.5511543462317763,1.0
0.5643057709975694,1.0
0.5820933288478669,1.0
0.5973344708457108,1.0
0.6119828585233843,1.0
0.5975724705234111,1.0
0.6058384895315089,1.0
0.6132343570270422,1.0
0.623750421154072,1.0
0.629977323936378,1.0
0.6357823200854954,1.0
0.6250823159697451,1.0
0.6301827462467964,1.0
0.634840121103,1.0
0.6391062044172948,1.0
0.6430251949852718,1.0
0.6466350455170826,1.0
0.6499685162334696,1.0
0.653862183147254,1.0
0.646017617861038,1.0
0.6369683141171084,1.0
0.6435841630816892,1.0
0.6491620504252387,1.0
0.6522535631674599,1.0
0.6546733583688682,1.0
0.6569378648925703,1.0
0.6590604881346676,1.0
0.6610531815605788,1.0
0.6635779715396156,1.0
0.6653868744539732,1.0
0.6574206458937465,1.0
